article_id,flood_id,iso,country,location,river_basin,start_date,end_date,language_detected,url,page_title,pub_date,clean_text,language,total_sentences,actionability_percentage,mean_imperative_count,mean_short_term_count,mean_long_term_count,mean_spatial_count,mean_advice,mean_srl_complete,mean_has_agent,mean_has_action,mean_has_location,mean_actionability_probability,domain,scope,source_type,dominant_frame,global_region,data_cluster_id
1,252,URY,Uruguay,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",,2016-04-12,2016-05-11,spa,http://www.180.com.uy/articulo/28839_Preven-temporal-con-caracteristicas-de-ciclon,180.com.uy :: Prevén temporal con características de ciclón extratropical,2026-05-19,"El fenómeno atmosférico provocará vientos muy fuertes con rachas intensas con potencial destructivo en algunos puntos. Uruguay está entre las zonas más afectadas por estos vientos que pueden alcanzar los 139 kilómetros por hora.El potencial de daños es altísimo. En el Río de Plata, la sudestada ya provocó inundaciones en las zonas bajas de Buenos Aires. Metsul afirma que este jueves el sur y el este de Uruguay deben ser las áreas más castigadas con viento muy intenso y rachas destructivas en algunos puntos, sobre todo en los departamentos de Montevideo, Canelones, Maldonado y Rocha. En estas áreas, el viento aumenta mucho durante este miércoles y aún será intenso en parte del jueves, cuando el ciclón ya se estará alejando rápidamente.Para Metsul los vientos de entre 80 y 100 kilómetros por hora pueden ocurrir en forma generalizada en el sur y este del país. Incluso algunos puntos pueden experimentar rachas superiores que no se descarta puedan ser de entre 120 y 140 kilómetros por hora en la costa uruguaya. El servicio advierte que puede caer un gran número de árboles, como ya sucede en Montevideo, y el mar tendrá olas muy altas.La Dirección Nacional de Meteorología tiene en vigencia una advertencia de nivel naranja desde el martes, a raíz de los fuertes vientos que afectan el sur uruguayo. Según esta previsión las rachas pueden ser de hasta 120 kilómetros por hora.",es,11.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.7272727272727273,1.0,1.0,0.7272727272727273,0.0496,180.com.uy,local,unknown,impact,Global South,0
2,252,URY,Uruguay,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",,2016-04-12,2016-05-11,spa,http://www.180.com.uy/articulo/30075,180.com.uy :: Advertencia naranja para el norte del país,2026-05-19,"El comunicado de la Dirección Nacional de Meteorología dice que debido a la inestabilidad atmosférica y al ingreso de un frente frío por el suroeste del país se pueden producir precipitaciones puntualmente copiosas (50-100 mm en seis horas), rachas de viento del SW entre 75 y 90 km/h de corta duración, actividad eléctrica intensa y probable precipitación de granizo.En los departamentos del sur del Río Negro las precipitaciones serán entre 20 y 50 milímetros en seis horas y las rachas de viento que no superarían los 75 km/h.El nivel naranja de advertencia supone un riesgo meteorológico importante (fenómenos poco habituales y peligrosos para las actividades usuales). El amarillo, en tanto, es un llamado de atención. Riesgo meteorológico solo para actividades concretas.",es,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.75,0.25,0.0091,180.com.uy,local,unknown,impact,Global South,0
3,79,BRA,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,por,https://abn.com.br/pascoa-em-canela-com-espetaculos-e-programacao-repleta-de-variadas-atracoes/,Páscoa em Canela com espetáculos e programação repleta de variadas atrações – ABN AGÊNCIA BRASILEIRA DE NOTÍCIAS S/A – ABN News Desde 1924 – Agência de Notícias Desde 1874,2014-04-09,"CANELA [ ABN NEWS ] Em sua segunda semana de atividades, a Páscoa em Canela terá como destaque o início das apresentações A Paixão de Cristo e Estátuas Humanas Uma Performance da Paixão de Cristo, além da continuidade da Árvore da Páscoa e Casinha do Senhor e Senhora Coelho, entre outras atrações lúdicas, culturais e religiosas na extensa agenda do evento, que prossegue até 21 de abril.A Paixão de Cristo retrata um dos momentos mais importantes da história da humanidade, narrados por Maria Santíssima, que conta toda a trajetória de vida do Homem que após dois mil anos ainda é o caminho, a verdade e a vida para muitas pessoas. O espetáculo, assinado pela Faces Produções, acontecerá no Parque do Lago, no sábado (12), às 21 horas, e tem entrada franca. Sob direção de Carla Reis e Fabrício Ghomes, no elenco estão 40 atores canelenses e mais de 20 pessoas na parte de produção.Estátuas Humanas Uma Performance da Paixão de Cristo é igualmente uma reflexão religiosa. Estátuas serão apresentadas por cinco personagens por meio de movimentos e performances que remetem aos momentos finais de Cristo até a ressurreição, com criação e direção de Alindor Estrella Figueroa. As apresentações deste final de semana de estreia serão no sábado (12), às 16 horas, e domingo (13), 11 horas, sempre em frente à Catedral de Pedra, com entrada franca.FeriadoPara a semana seguinte, marcada pelo feriado de Páscoa, o destaque será a programação religiosa. Entre as atividades, haverá a Procissão do Encontro,",pt,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.5,0.0182,abn.com.br,local,unknown,impact,Global South,0
4,248,USA,United States of America,"East and West Canton (Van Zandt county) (Texas); Kampville (St Charles) (Missouri); Logan, Marion, Miles Station (Macoupin), Sumner (Lawrence), Pawnee (Sangamon) (Illinois); Natural Dam (Crawford), Mississipi, Clay (Arkansas); Oak ridge (Morehouse) (Louisiana) ; Labette (Kansas); Cameron (Le Flore) (Oklahoma); Goshen (Oldham) (Kentucky) ; Ohio; Pennsylvania; West Virginia ; Mississipi ; Alabama ; Tennesse ; Indiana","Mississippi river, Black River, White River, Illinois River, Big Muddy River, Meramec River, St. Francis River, Gasconade River",2017-04-28,2017-05-01,eng,https://www.abqjournal.com/1006072/army-warning-issued-before-9-died-in-fort-hood-floodwaters.html,Army: Warning issued before 9 died in Fort Hood floodwaters | Albuquerque Journal,2026-05-19,"FORT HOOD, Texas An alert declaring all low-water crossings off-limits to vehicles was issued at Fort Hood hours before a truck carrying 12 soldiers was knocked over by floodwaters last year, killing nine, according to a military report.The report reviewed by The Dallas Morning News indicates that on June 2, 2016, a convoy of four Army vehicles attempted to navigate a crossing overrun by more than 7 feet of floodwaters.The military transport truck leading the convoy at the Central Texas post toppled over when it entered the water. Three aboard the truck were pulled to safety but nine others died.Army officials have not publicly released the report but a copy was provided to Ricky DeLeon of San Angelo, whose 19-year-old son, Isaac Lee DeLeon, was among those killed. The family allowed the newspaper to review the report.The investigation placed much of the blame for DeLeons death on Staff Sgt. Miguel Angel Colonvazquez, a veteran of Iraq and Afghanistan and the patrol leader in the transport convoy. He was among the nine who drowned in what ranks among the worst training disasters in the 75-year history of the Central Texas post.Three other unit leaders who were not with the transport have also been recommended for reprimands. Their names have been redacted in the report.However, that doesnt satisfy DeLeons family. His father believes the entire Fort Hood command should bear responsibility for his childs death.Our son Isaac is dead because of irresponsibility. It was a bad situ",en,13.0,7.69,0.0,0.07692307692307693,0.0,0.0,0.07692307692307693,0.6923076923076923,0.8461538461538461,1.0,0.8461538461538461,0.08952307692307691,abqjournal.com,local,unknown,impact,Global North,0
8,79,BRA,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,por,https://www.agazeta.com.br/agora/grande-perigo-cidades-do-es-recebem-alerta-vermelho-para-chuvas-0425,Grande perigo: cidades do ES recebem alerta vermelho para chuvas | A Gazeta,2025-04-04,"Grande perigo: cidades do ES recebem alerta vermelho para chuvasO Espírito Santo recebeu alerta vermelho para acumulado de chuva, válido durante todo o sábado (5). De acordo com o Instituto Nacional de Meteorologia (Inmet), pode chover mais de 100mm por dia em 32 cidades capixabas.Há alto risco de grandes alagamentos e transbordamentos de rios e grandes deslizamentos de encostas. Confira, abaixo, os municípios que receberam o alerta:- Alegre- Alfredo Chaves- Anchieta- Apiacá- Atílio Vivacqua- Bom Jesus do Norte- Brejetuba- Cachoeiro de Itapemirim- Castelo- Conceição do Castelo- Divino de São Lourenço- Domingos Martins- Dores do Rio Preto- Guaçuí- Guarapari- Ibatiba- Ibitirama- Iconha- Irupi- Itapemirim- Iúna- Jerônimo Monteiro- Marataízes- Mimoso do Sul- Muniz Freire- Muqui- Piúma- Presidente Kennedy- Rio Novo do Sul- São José do Calçado- Vargem Alta- Venda Nova do Imigrante",pt,4.0,12.5,0.0,0.75,0.0,0.75,0.0,0.25,0.5,1.0,0.5,0.07730000000000001,agazeta.com.br,regional,regional_news,impact,Global South,1
9,79,BRA,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,por,https://www.agazeta.com.br/brasil/barulho-da-chuva-me-deixa-desesperada-vitimas-de-enchentes-podem-ter-mesmo-transtorno-dos-sobreviventes-de-guerra-0524,'Barulho da chuva me deixa desesperada': vítimas de enchentes podem ter mesmo transtorno dos sobreviventes de guerra | A Gazeta,2024-05-13,"'Só de ouvir o barulho da chuva já fico desesperada. Vem aquela ansiedade, o coração fica acelerado e começo a chorar. Quando chove à noite eu não durmo e fico na janela olhando o rio para ver se ele está subindo'.O relato é da guia de turismo Carla Suzart, de 47 anos, que mora no bairro Coqueiral, em Recife (PE), e há dois anos viu a casa ser invadida pelo transbordamento do rio Tejipió, após os temporais, que, ao todo, mataram ao menos 147 pessoas na Região Metropolitana do Recife.Sentimentos como os relatados pela guia de turismo são comuns em pessoas que enfrentaram alguma tragédia ou trauma e podem desencadear o transtorno de estresse pós-traumático o TEPT, como as vítimas das enchentes que atingem cidade do Rio Grande do Sul.Em 2022, segundo Carla, a água chegou a atingir mais de um 1,5 metro de altura dentro de casa e a família perdeu diversos móveis e eletrodomésticos. Sem conseguir deixar a residência, que é própria, ela conta que a família precisou adaptar a casa para se proteger das enchentes.Os móveis hoje são de cimento para evitar que se estraguem com o contato com a água e ela construiu com o marido mais um andar no imóvel.'Nessa época de chuvas, subimos geladeira, fogão e móveis para esse andar e na nossa casa deixamos apenas o colchão, que é fácil de tirar em caso de enchente. E quando a água do rio começa a subir, nós vamos para a casa da minha cunhada, porque apesar de não atingir o andar de cima, a gente não sabe se a estrutura aguenta a força da correntez",pt,9.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.7777777777777778,0.8888888888888888,1.0,0.7777777777777778,0.04647777777777778,agazeta.com.br,regional,regional_news,impact,Global South,0
10,79,BRA,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,por,https://www.agazeta.com.br/brasil/governo-federal-reconhece-situacao-de-emergencia-em-petropolis-rj-0425,Governo Federal reconhece situação de emergência em Petrópolis (RJ) | A Gazeta,2025-04-07,"Publicado em 7 de abril de 2025 às 09:42O Governo Federal reconheceu situação de emergência no município de Petrópolis, na região serrana fluminense, devido às fortes chuvas que atingiram o estado entre sexta-feira (4) e domingo (6), segundo nota divulgada pelo Ministério da Integração e do Desenvolvimento Regional.Mais cedo, a Defesa Civil Nacional já havia reconhecido situação de emergência em Angra dos Reis, no sul fluminense. Com isso, os dois municípios podem solicitar recursos federais para ações de defesa civil, como compra de cestas básicas, água mineral, refeição para trabalhadores e voluntários, kits de limpeza de residência, higiene pessoal e dormitório, entre outros.O Corpo de Bombeiros fluminense resgatou pelo menos 80 vítimas das chuvas desde sexta-feira (4) no estado do Rio. Segundo a Secretaria Estadual de Defesa Civil, nenhuma delas estava em situação de saúde grave. Não foram registradas mortes até a tarde desse domingo (6).Ainda de acordo com os bombeiros, até as 19h de ontem havia 523 pessoas desalojadas e 48 desabrigadas (ou seja, aquelas que precisaram de abrigo público) no estado. Angra dos Reis foi um dos municípios que mais registrou desalojados por causa das chuvas.Segundo a prefeitura do município do litoral sul fluminense, o número de pessoas que tiveram que deixar suas casas superou 300, mas, às 21h20, havia caído para 174.Em Petrópolis, as chuvas provocaram deslizamentos e alagamentos, mas não deixaram vítimas. Ruas tiveram que ser interditadas e",pt,9.0,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.08282222222222223,agazeta.com.br,regional,regional_news,impact,Global South,0
11,79,BRA,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,por,https://www.agazeta.com.br/brasil/temporal-causa-alagamentos-e-quedas-de-arvores-em-porto-alegre-0425,Temporal causa alagamentos e quedas de árvores em Porto Alegre | A Gazeta,2025-04-01,"O temporal que atingiu Porto Alegre na tarde desta segunda-feira (31) causou alagamentos, quedas de árvores e destelhamentos na cidade. A recepção do Hospital de Pronto Socorro, no bairro Bom Fim, foi alagada. Também houve infiltração no segundo andar, na ala da pediatria do hospital.As estações de tratamento de água Moinhos de Vento, Menino Deus, Ilhas, São João e Belém Novo ficaram sem energia elétrica. A prefeitura informou a possibilidade de falta de água ou baixa pressão em todas as regiões da cidade.A EPTC (Empresa Pública de Transporte e Circulação) registrou um bloqueio total e dois parciais do trânsito devido à queda de árvores e galhos. Quatorze cruzamentos ficam com semáforos fora de operação durante a tarde.A ventania atingiu 110 km/h na região do aeroporto Salgado Filho. Até as 17h40 o volume de chuva foi de 40 milímetros na capital gaúcha.O governo do Rio Grande do Sul determinou que a Defesa Civil, a Brigada Militar, o Corpo de Bombeiros e a Polícia Civil reforçassem as equipes nas ruas para apoiar as ações de desobstrução e assistência à população.Os ventos intensos e as chuvas, conforme alertado pela Defesa Civil, causaram diversos transtornos, e nossa prioridade é garantir a segurança da população e a rápida resposta às demandas mais urgentes', disse o governador Eduardo Leite (PSDB).Notou alguma informação incorreta no conteúdo de A Gazeta? Nos ajude a corrigir o mais rapido possível! Clique no botão ao lado e envie sua mensagemEnvie sua sugestão, comentári",pt,13.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.46153846153846156,0.0,0.38461538461538464,0.7692307692307693,1.0,0.46153846153846156,0.051746153846153845,agazeta.com.br,regional,regional_news,response,Global South,0
12,79,BRA,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,por,https://www.agazeta.com.br/clima/a-relacao-entre-o-resfriamento-das-aguas-do-pacifico-com-os-temporais-no-es-0125,A relação entre o resfriamento das águas do Pacífico com os temporais no ES | A Gazeta,2025-01-14,"Publicado em 14 de janeiro de 2025 às 18:34As últimas semanas tem sido de chuvas e temperaturas mais amenas no Espírito Santo, o que chamou a atenção dos capixabas, que lembram que o verão 2024 foi de muito calor e pouca umidade. Mas o que mudou de um ano para o outro? A explicação tem um nome: La Niña, um fenômeno caracterizado pelo resfriamento das águas do Oceano Pacífico.Mas sozinho, o La Niña não tem muita força para provocar tantos temporais como os ocorridos no Estado. O que acontece é que o fenômeno climático favorece o deslocamento das frentes frias pela costa do Sul e do Sudeste. Essa passagem de frentes frias ajuda a organizar corredores de umidade, facilitando a formação da Zona de Convergência do Atlântico Sul (ZCAS).Essa característica que leva muita chuva em curto espaço de tempo, como vimos no Espírito Santo, é um sinal claro do La Niña, que favorece principalmente a formação de canais umidade', explicou o meteorologista da Climatempo, Guilherme Borges.Guilherme BorgesMeteorologista da ClimatempoSegundo a Administração Oceânica e Atmosférica Nacional dos Estados Unidos (Noaa), o La Niña deve continuar entre fevereiro e abril deste ano, com 59% de chance de persistência.Conforme Guilherme Borges, desde o início do verão, em 21 de dezembro de 2024, três ZCAS já se formaram no Brasil.Isso significa que pode chover mais nos próximos dias?De acordo com o meteorologista da Climatempo, as previsões de curto e médio prazo mostram novas estabilizações de fenômenos como",pt,9.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.7777777777777778,1.0,1.0,0.7777777777777778,0.044455555555555554,agazeta.com.br,regional,regional_news,response,Global South,0
13,79,BRA,Brazil,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,por,https://www.agazeta.com.br/clima/cemaden-inclui-cachoeiro-na-lista-de-cidades-em-alerta-de-chuva-forte-0425,Cemaden inclui Cachoeiro na lista de cidades do Sudeste em alerta de chuva forte | A Gazeta,2025-04-04,"Publicado em 4 de abril de 2025 às 10:21O Centro Nacional de Monitoramento e Alerta de Desastres Naturais (Cemaden) incluiu Cachoeiro de Itapemirim, no Sul do Espírito Santo, na lista de cidades com risco de alagamentos, deslizamentos e quedas de barreiras entre esta sexta-feira (4) e domingo (6), devido às fortes chuvas previstas para a região. O mesmo alerta também foi enviado para cidades do RJ, de MG e de SP.Segundo o Cemaden, nesta sexta-feira (4) é considerada moderada a possibilidade de ocorrência de eventos hidrológicos em Cachoeiro de Itapemirim. Há previsão de pancadas de chuva, que podem ocorrer com forte intensidade em curto período, favorecendo a ocorrência de inundações pontuais em córregos urbanos, enxurradas e alagamentos temporários de áreas rebaixadas.O risco geológico também é considerado moderado em Cachoeiro de Itapemirim. De acordo com o órgão, pode haver deslizamentos pontuais, especialmente em encostas com suscetibilidade.Já entre sábado e domingo, a possibilidade de ocorrência de eventos hidrológicos em Cachoeiro de Itapemirim é alta. A chuva persistente ao longo do dia favorece a que haja enxurradas e alagamentos temporários de áreas urbanas rebaixadas e inundações em rios de bacias urbanas ou rurais.O risco geológico também é considerado alto. Há possibilidade de ocorrência de movimentos de massa devido à presença de áreas com alta suscetibilidade e à previsão de altos acumulados de chuva ao longo dos próximos dias, que podem provocar deslizamentos",pt,9.0,0.0,0.0,0.1111111111111111,0.0,0.6666666666666666,0.0,0.7777777777777778,0.8888888888888888,1.0,0.8888888888888888,0.06464444444444445,agazeta.com.br,regional,regional_news,impact,Global South,0
