country,count,mean,median,std,min,max,pct_of_total
Guyana,3,16.666666666666668,0.0,28.867513459481287,0.0,50.0,0.5
Guatemala,1,7.14,7.14,,7.14,7.14,0.2
Mexico,105,5.162095238095238,0.0,10.162707060549115,0.0,50.0,16.7
Peru,30,4.216333333333334,0.0,7.627239064506004,0.0,25.0,4.8
Costa Rica,3,4.166666666666667,0.0,7.216878364870322,0.0,12.5,0.5
Canada,12,2.7775,0.0,5.128483959931309,0.0,12.5,1.9
Colombia,31,2.7467741935483874,0.0,6.303084106000159,0.0,20.0,4.9
Ecuador,5,2.5,0.0,5.590169943749474,0.0,12.5,0.8
Bolivia (Plurinational State of),3,2.0833333333333335,0.0,3.608439182435161,0.0,6.25,0.5
Brazil,313,2.0779872204472842,0.0,6.352871961064722,0.0,50.0,49.9
United States of America,84,1.083452380952381,0.0,5.708571761125717,0.0,50.0,13.4
Argentina,2,0.0,0.0,0.0,0.0,0.0,0.3
Honduras,2,0.0,0.0,0.0,0.0,0.0,0.3
Panama,3,0.0,0.0,0.0,0.0,0.0,0.5
Uruguay,22,0.0,0.0,0.0,0.0,0.0,3.5
Venezuela (Bolivarian Republic of),4,0.0,0.0,0.0,0.0,0.0,0.6
Belize,0,,,,,,0.0
