domain,count,mean,median,std,min,max,pct_of_total
debate.com.mx,2,20.0,20.0,28.284271247461902,0.0,40.0,0.3
hojeemdia.com.br,1,20.0,20.0,,20.0,20.0,0.2
abqjournal.com,1,12.5,12.5,,12.5,12.5,0.2
istoedinheiro.com.br,2,7.145,7.145,10.104555903155763,0.0,14.29,0.3
www2.jornalinterior.com.br,3,6.846666666666667,6.25,7.163660609865136,0.0,14.29,0.5
tabascohoy.com,5,6.6659999999999995,0.0,14.905629138013598,0.0,33.33,0.9
alcalorpolitico.com,5,6.6659999999999995,0.0,14.905629138013598,0.0,33.33,0.9
seculodiario.com.br,2,6.25,6.25,8.838834764831844,0.0,12.5,0.3
elcolombiano.com,5,6.192,0.0,8.520397291206555,0.0,16.67,0.9
semana.com,8,5.625,0.0,10.50085030570654,0.0,25.0,1.4
elfinanciero.com.mx,59,5.264745762711865,0.0,10.976153832353589,0.0,60.0,10.2
elpueblo.com.pe,10,5.0,0.0,11.248593986212974,0.0,33.33,1.7
elfinancierocr.com,3,4.166666666666667,0.0,7.216878364870322,0.0,12.5,0.5
bhaz.com.br,7,4.047142857142857,0.0,7.689097724019626,0.0,20.0,1.2
eje21.com.co,16,3.7625,0.0,6.669175361317169,0.0,20.83,2.8
cbc.ca,11,3.5954545454545452,0.0,5.3944626491178225,0.0,12.5,1.9
pernambuco.com,2,3.57,3.57,5.048742417671949,0.0,7.14,0.3
em.com.br,32,2.9825,0.0,7.782830980081484,0.0,33.33,5.5
gjsentinel.com,19,2.6315789473684212,0.0,7.882544191057645,0.0,25.0,3.3
folhavitoria.com.br,6,2.3816666666666664,0.0,5.8338680707286015,0.0,14.29,1.0
diariodelhuila.com,3,2.38,0.0,4.122280922013927,0.0,7.14,0.5
180.com.uy,2,2.275,2.275,3.217335854398791,0.0,4.55,0.3
9news.com,2,2.275,2.275,3.217335854398791,0.0,4.55,0.3
kktv.com,14,1.9714285714285715,0.0,2.9253713956005316,0.0,8.33,2.4
eloccidental.com.mx,3,1.8533333333333333,0.0,3.210067496694319,0.0,5.56,0.5
campograndenews.com.br,7,1.7857142857142858,0.0,4.72455591261534,0.0,12.5,1.2
krdo.com,6,1.6666666666666667,0.0,4.0824829046386295,0.0,10.0,1.0
propublica.org,18,1.6661111111111113,0.0,3.282753755952801,0.0,8.33,3.1
gp1.com.br,2,1.665,1.665,2.3546655813512034,0.0,3.33,0.3
jornaldaparaiba.com.br,13,1.5799999999999998,0.0,4.191393960645233,0.0,14.29,2.2
elespectador.com,4,1.5625,0.0,3.1249999999999996,0.0,6.25,0.7
npr.org,3,1.5166666666666666,0.0,2.626943724812797,0.0,4.55,0.5
diariodepernambuco.com.br,75,1.448,0.0,5.097929362376825,0.0,25.0,12.9
opovo.com.br,11,1.2936363636363637,0.0,3.3875958221938833,0.0,11.11,1.9
kvia.com,3,1.2833333333333334,0.0,2.222798536380059,0.0,3.85,0.5
kuow.org,4,1.25,0.0,2.5,0.0,5.0,0.7
expreso.com.pe,17,0.9805882352941178,0.0,4.043068869355671,0.0,16.67,2.9
denverpost.com,5,0.9099999999999999,0.0,2.0348218595248087,0.0,4.55,0.9
www2.cemaden.gov.br,21,0.8728571428571428,0.0,2.7693810551405575,0.0,10.0,3.6
lr21.com.uy,9,0.7933333333333333,0.0,2.38,0.0,7.14,1.6
folhape.com.br,8,0.78125,0.0,2.209708691207961,0.0,6.25,1.4
dallasnews.com,14,0.655,0.0,1.6729189138471992,0.0,5.0,2.4
ibahia.com,7,0.4757142857142857,0.0,1.2586216951207267,0.0,3.33,1.2
agazeta.com.br,12,0.4166666666666667,0.0,1.4433756729740643,0.0,5.0,2.1
a12.com,1,0.0,0.0,,0.0,0.0,0.2
chiapasparalelo.com,2,0.0,0.0,0.0,0.0,0.0,0.3
confidencialhn.com,2,0.0,0.0,0.0,0.0,0.0,0.3
cruzroja.org.pa,1,0.0,0.0,,0.0,0.0,0.2
ctvnews.ca,3,0.0,0.0,0.0,0.0,0.0,0.5
folhams.com.br,18,0.0,0.0,0.0,0.0,0.0,3.1
kqed.org,6,0.0,0.0,0.0,0.0,0.0,1.0
hch.tv,1,0.0,0.0,,0.0,0.0,0.2
faroldabahia.com.br,1,0.0,0.0,,0.0,0.0,0.2
elobservador.com.uy,8,0.0,0.0,0.0,0.0,0.0,1.4
eltiempo.com,1,0.0,0.0,,0.0,0.0,0.2
elsoldeacapulco.com.mx,3,0.0,0.0,0.0,0.0,0.0,0.5
elpais.com.uy,2,0.0,0.0,0.0,0.0,0.0,0.3
diariodonordeste.verdesmares.com.br,4,0.0,0.0,0.0,0.0,0.0,0.7
gazetaweb.com,4,0.0,0.0,0.0,0.0,0.0,0.7
mexicodailypost.com,1,0.0,0.0,,0.0,0.0,0.2
mexiconewsdaily.com,2,0.0,0.0,0.0,0.0,0.0,0.3
lavozdetarija.com,3,0.0,0.0,0.0,0.0,0.0,0.5
latimes.com,2,0.0,0.0,0.0,0.0,0.0,0.3
ladiaria.com.uy,1,0.0,0.0,,0.0,0.0,0.2
poder360.com.br,1,0.0,0.0,,0.0,0.0,0.2
piedepagina.mx,4,0.0,0.0,0.0,0.0,0.0,0.7
pbs.org,9,0.0,0.0,0.0,0.0,0.0,1.6
miambiente.gob.pa,2,0.0,0.0,0.0,0.0,0.0,0.3
msnbc.com,2,0.0,0.0,0.0,0.0,0.0,0.3
meteored.com.ar,2,0.0,0.0,0.0,0.0,0.0,0.3
reliefweb.int,3,0.0,0.0,0.0,0.0,0.0,0.5
radiohuancavilca.com.ec,4,0.0,0.0,0.0,0.0,0.0,0.7
subrayado.com.uy,6,0.0,0.0,0.0,0.0,0.0,1.0
statesman.com,1,0.0,0.0,,0.0,0.0,0.2
thebogotapost.com,2,0.0,0.0,0.0,0.0,0.0,0.3
theintercept.com,2,0.0,0.0,0.0,0.0,0.0,0.3
unocha.org,1,0.0,0.0,,0.0,0.0,0.2
theyucatantimes.com,1,0.0,0.0,,0.0,0.0,0.2
wunc.org,4,0.0,0.0,0.0,0.0,0.0,0.7
unomasuno.com.mx,5,0.0,0.0,0.0,0.0,0.0,0.9
